2023-10-27T14:31:44.886  Database calls and statement text by call end time

mrskew --rc=calls.rc --top=0 "C:\Users\berx\Downloads\FREE_ora_53693_SESSION_C.trc"

input files:
	'C:\Users\berx\Downloads\FREE_ora_53693_SESSION_C.trc'

where expression:
	((1) and (1)) and $is_dbcall

group expression:
	sprintf("%27s %10d %10d %10d  %-40.40s %-.46s", $time1, $line, $parse_id, $exec_id, "· "x$dep.$name.(scalar(@bind)?"(".join(",",@bind).")":""), "· "x$dep.$sql)

matched input files:
	'C:\Users\berx\Downloads\FREE_ora_53693_SESSION_C.trc'

matched call names:
	'CLOSE'
	'ERROR'
	'EXEC'
	'FETCH'
	'PARSE'
	'XCTEND'

                   END-TIMe       LINE   PARSE-ID    EXEC-ID  CALL-NAME(BOUND-VALUES)                  STATEMENT-TEXT                                
 2023-10-26T14:53:50.226517        463        454        462  · FETCH(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:53:50.226540        464        454        462  · CLOSE(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:53:50.227511        470        470          0  PARSE                                    update ticketsales set capacity = capacity - 7
 2023-10-26T14:53:50.227762        485         72        485  · EXEC(04000100330500,1,)                · SELECT NVL(((select NVL(sum(CAPACITY_RESERVE
 2023-10-26T14:53:50.227944        486         72        485  · FETCH(04000100330500,1,)               · SELECT NVL(((select NVL(sum(CAPACITY_RESERVE
 2023-10-26T14:53:50.228238        523         98        523  · EXEC(,04000100330500,"ACTIVE","UPDATE" · INSERT INTO "SYS_RESERVJRNL_98174" (ORA_SAGA
 2023-10-26T14:53:50.228267        524        470        524  EXEC                                     update ticketsales set capacity = capacity - 7
 2023-10-26T14:53:50.473804        531        470        524  CLOSE                                    update ticketsales set capacity = capacity - 7
 2023-10-26T14:53:50.473869        536        536          0  PARSE                                    commit                                        
 2023-10-26T14:53:50.473927        537          0          0  XCTEND                                   #():C:\Users\berx\Downloads\FREE_ora_53693_SES
 2023-10-26T14:53:50.474049        542        542          0  · PARSE                                  · update (select B$.ID,B$.CAPACITY,ORA_ESCR_AG
 2023-10-26T14:53:50.474444        550        542        550  · EXEC(04000100330500)                   · update (select B$.ID,B$.CAPACITY,ORA_ESCR_AG
 2023-10-26T14:53:50.474720        563        563          0  · PARSE                                  · delete from BERX.SYS_RESERVJRNL_98174 where 
 2023-10-26T14:53:50.474984        571        563        571  · EXEC(04000100330500)                   · delete from BERX.SYS_RESERVJRNL_98174 where 
 2023-10-26T14:53:50.475307        574        536        574  EXEC                                     commit                                        
 2023-10-26T14:53:51.270715        578        536        574  CLOSE                                    commit                                        
 2023-10-26T14:53:51.272108        579        579          0  · PARSE                                  · select condition from cdef$ where rowid=:1  
 2023-10-26T14:53:51.272280        587        579        587  · EXEC(00008151.001C.0001)               · select condition from cdef$ where rowid=:1  
 2023-10-26T14:53:51.272325        588        579        587  · FETCH(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:53:51.272352        589        579        587  · CLOSE(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:53:51.273447        595        595          0  PARSE                                    select capacity from ticketsales where id = 1 
 2023-10-26T14:53:51.273513        596        595        596  EXEC                                     select capacity from ticketsales where id = 1 
 2023-10-26T14:53:51.273577        598        595        596  FETCH                                    select capacity from ticketsales where id = 1 
 2023-10-26T14:53:51.274973        602        595        596  FETCH                                    select capacity from ticketsales where id = 1 
 2023-10-26T14:53:54.079746        607          0          0  XCTEND                                   #():C:\Users\berx\Downloads\FREE_ora_53693_SES
 2023-10-26T14:53:54.079790        608        595        596  CLOSE                                    select capacity from ticketsales where id = 1 
 2023-10-26T14:53:54.079811        609        563        571  CLOSE(04000100330500)                    delete from BERX.SYS_RESERVJRNL_98174 where OR
 2023-10-26T14:53:54.079820        610        542        550  CLOSE(04000100330500)                    update (select B$.ID,B$.CAPACITY,ORA_ESCR_AGG$
 2023-10-26T14:53:54.079829        611         98        523  CLOSE(,04000100330500,"ACTIVE","UPDATE", INSERT INTO "SYS_RESERVJRNL_98174" (ORA_SAGA_I
 2023-10-26T14:53:54.079838        612         72        485  CLOSE(04000100330500,1,)                 SELECT NVL(((select NVL(sum(CAPACITY_RESERVED)
 2023-10-26T14:53:54.079849        613          0          0  CLOSE                                    #140437761622440:C:\Users\berx\Downloads\FREE_
-----------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL (118)                                                                                                                                          

0,081 seconds     0 MB/sec



